,continent,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,2017 Total,2018 Total,2019 Total,2020 Total,2021 Total,2022 Total
0,Afrique,764.0,338.0,278.0,275.0,272.0,288.0,309.0,286.0,255.0,302.0,299.0,377.0,336.0,103.0,65.0,245.0
1,Amérique Centrale Total,1602.0,1308.0,880.0,948.0,1170.0,1242.0,978.0,1060.0,1107.0,1052.0,971.0,1184.0,1234.0,351.0,137.0,668.0
2,Amérique du Nord Total,72850.0,62633.0,45045.0,46488.0,56843.0,59892.0,60862.0,71548.0,72315.0,74234.0,74582.0,83539.0,96740.0,34305.0,42242.0,79180.0
3,Amérique du Sud Total,6993.0,6565.0,5791.0,5902.0,5534.0,6078.0,6491.0,5547.0,5628.0,6832.0,6663.0,6392.0,5980.0,977.0,153.0,875.0
4,Asie Total,25597.0,21226.0,18990.0,16715.0,15971.0,16505.0,17384.0,18288.0,20482.0,21949.0,21891.0,18466.0,15154.0,2332.0,337.0,1089.0
5,Europe (hors France) Total,42044.0,40464.0,33601.0,30017.0,28437.0,26763.0,25099.0,27538.0,26770.0,26518.0,27046.0,31412.0,32496.0,6781.0,4790.0,20317.0
6,France Total,43161.0,42374.0,39256.0,36544.0,35835.0,35898.0,32946.0,34887.0,35765.0,39086.0,41685.0,49272.0,60382.0,28112.0,34202.0,61777.0
7,Pacifique Total,24887.0,21406.0,16405.0,16799.0,18513.0,22044.0,20048.0,21077.0,21186.0,21919.0,25228.0,24981.0,23596.0,3906.0,539.0,11864.0
8,Proche et Moyen Orient Total,343.0,182.0,201.0,231.0,201.0,268.0,276.0,371.0,323.0,603.0,594.0,645.0,724.0,150.0,81.0,303.0
9,Grand Total,218241.0,196496.0,160447.0,153919.0,162776.0,168978.0,164393.0,180602.0,183831.0,192495.0,198959.0,216268.0,236642.0,77017.0,82546.0,176318.0
