,Provenance,Latitude,Longitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Afrique,11.5024338,17.7578122,764,338,278,275,272,288,309,286,255,302,299,377,336,103,65.0,245
1,Mexique,23.6585116,-102.0077097,1373,1200,745,814,1033,1067,884,1010,1061,874,765,930,961,282,76.0,382
2,Canada,61.0666922,-107.991707,7301,7271,4265,5468,7458,7034,7206,9270,8402,6326,6372,7846,7958,2019,1287.0,5854
3,USA,39.7837304,-100.445882,65549,55362,40780,41020,49385,52858,53656,62278,63913,67908,68210,75693,88782,32286,40955.0,73326
4,Argentine,-34.9964963,-64.9672817,1797,1951,1433,1253,1098,1264,1087,840,974,2556,2121,2067,1073,249,32.0,147
5,Brésil,-10.3333333,-53.2,2654,2455,2047,2360,2530,2787,3064,2767,2357,1516,1997,1788,1871,236,34.0,413
6,Chili,-31.7613365,-71.3187697,1864,1585,1706,1849,1328,1328,1624,1421,1731,2027,1958,2018,2456,403,28.0,139
7,Chine,35.000074,104.999927,440,388,543,1143,978,1183,1876,3268,5555,5987,5430,5055,3345,638,18.0,107
8,Corée du sud,36.638392,127.6961188,571,650,765,686,506,682,568,746,1020,1170,1075,1051,1034,146,33.0,142
9,Hong Kong,22.2793278,114.1628131,140,259,99,1,214,301,240,453,469,359,370,368,415,89,12.0,36
10,Inde,22.3511148,78.6677428,224,246,289,318,432,460,521,422,541,637,583,403,405,86,12.0,50
11,Indonésie,-2.4833826,117.8902853,96,83,128,98,86,65,98,84,127,214,133,167,146,29,42.0,65
12,Japon,36.5748441,139.2394179,23240,18769,16353,13761,12990,12989,13175,12527,11447,12174,12808,9912,8176,1071,23.0,172
13,Malaisie,4.5693754,102.2656823,88,70,62,104,72,134,120,108,166,139,137,111,137,17,8.0,21
14,Philippines,12.7503486,122.7312101,238,202,187,176,121,91,131,148,220,163,176,201,238,63,139.0,249
15,Singapour,1.357107,103.8194992,227,202,191,200,200,244,257,318,310,287,321,335,404,54,24.0,126
16,Taïwan,23.9739374,120.9820179,91,195,188,91,158,239,260,144,446,510,579,519,571,93,8.0,50
17,Thaïlande,14.8971921,100.83273,79,111,106,81,137,80,81,43,154,227,215,243,200,29,1.0,26
18,Allemagne,51.1638175,10.4478313,4426,4511,4346,4256,3604,3552,3477,4028,3538,3951,3881,4539,5010,1362,753.0,2462
19,Autriche,47.59397,14.12456,963,998,999,757,688,619,577,740,599,622,601,775,818,164,108.0,371
20,Belgique,50.6402809,4.6667145,1007,2025,995,796,852,882,858,997,923,991,1092,1243,1502,510,521.0,1428
21,Danemark,55.670249,10.3333283,225,259,228,236,162,197,156,216,227,282,318,509,569,208,286.0,813
22,Espagne,39.3260685,-4.8379791,6292,5960,4554,4104,3475,3004,2426,2782,2608,2414,2459,2530,2775,404,420.0,1782
23,Finlande,63.2467777,25.9209164,577,301,234,232,205,194,89,73,38,149,165,221,184,61,17.0,62
24,Italie,42.6384261,12.674297,14385,13802,11944,11208,10471,9409,8103,7887,7993,7888,7720,8802,8369,439,527.0,5533
25,Luxembourg,49.8158683,6.1296751,140,168,143,198,109,135,60,137,153,171,133,271,235,89,84.0,254
26,Norvège,61.1529386,8.7876653,329,272,168,158,201,244,296,218,242,230,264,292,309,48,27.0,159
27,Pays-Bas,52.2434979,5.6343227,566,726,676,565,487,432,454,367,467,455,557,706,667,248,98.0,481
28,Portugal,39.6621648,-8.1353519,499,470,337,311,374,251,224,209,249,254,296,267,316,107,84.0,231
29,Royaume-Uni,54.7023545,-3.2765753,6233,4977,3482,2840,2671,2617,3255,4834,4711,3980,3768,4382,4424,1117,516.0,2650
30,Russie,64.6863136,97.7453061,744,805,601,519,699,587,847,640,448,392,472,526,486,160,20.0,55
31,Suisse,46.7985624,8.2319736,2497,2240,2136,1860,2242,2559,2663,2911,2845,2831,3054,3406,3524,769,688.0,2145
32,Suède,59.6749712,14.5208584,558,528,411,324,283,286,273,446,443,395,356,489,480,130,58.0,169
33,France,46.603354,1.8883335,43161,42374,39256,36544,35835,35898,32946,34887,35765,39086,41685,49272,60382,28112,34202.0,61777
34,Australie,-24.7761086,134.755,11746,10228,6557,6945,8236,10224,9167,9315,9167,9757,10015,9335,8204,1230,94.0,3069
35,Îles Cook,-19.919672900000002,-157.9753368892878,464,309,268,265,284,215,212,191,299,328,354,243,456,55,,143
36,Fidji,-18.1239696,179.0122737,181,96,131,108,139,92,88,124,102,94,129,109,75,25,1.0,70
37,Nouvelle-Calédonie,-21.3019905,165.4880773,3761,3815,3875,3940,3946,4022,3826,4111,4185,4206,4815,5684,6522,1356,370.0,4387
38,Nouvelle-Zélande,-41.5000831,172.8344077,8198,6545,4914,5128,5484,7166,6477,7136,7315,7221,9392,8947,7960,1168,68.0,3987
39,Samoa,-13.7693895,-172.12005,86,46,75,72,54,24,39,104,85,58,71,58,46,15,,42
40,Tonga,-19.9160819,-175.202642,66,18,36,5,23,12,21,18,4,31,25,43,41,2,,35
