,Produit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
1,01 Animaux vivants,110000.0,300000.0,210000.0,530000.0,430000.0,90000.0,20000.0,,,,,,170000.0,,29833.0,22500.0,,,,,,,,,,,,,410000.0,272710.0
2,02 Viandes et abats comestibles,955833.0,1340957.0,596.0,,18297498.0,1590.0,2029.0,3860.0,87.0,,,1000.0,1193.0,,3099456.0,,741120.0,1451466.0,572885.0,,,8003435.0,702694.0,,,203360.0,2030940.0,,586570.0,
3,"03 Poissons et crustacés, mollusques et autres invertébrés aquatiques",2200467161.0,1779817874.0,853349520.0,1821981683.0,1511062764.0,1342850529.0,1285367264.0,1589284522.0,1241322864.0,1099527523.0,1583192153.0,850796600.0,674349066.0,535318664.0,275975075.0,487744742.0,415714392.0,358110930.0,395331865.0,656138997.0,1138190709.0,1458229194.0,811566314.0,343749935.0,354417695.0,400566761.0,53466526.0,66444300.0,73888442.0,76914891.0
4,04 Lait et produits de laiterie; oeufs d'oiseaux; miel naturel; produits comestibles d'origine animale,3029000.0,127073.0,554200.0,15437.0,59665.0,,2618100.0,69192.0,1652.0,7120.0,103974.0,591259.0,257266.0,4257684.0,12725.0,117519.0,23701432.0,,703600.0,989453.0,2716200.0,32032.0,265822.0,,,2223650.0,19840.0,,772840.0,5112080.0
5,05 Autres produits d'origine animale,240686627.0,189687349.0,190078727.0,259279237.0,230616639.0,248811178.0,213680002.0,338301925.0,278782113.0,384066913.0,271493777.0,299775323.0,256418907.0,215895862.0,458097520.0,368162147.0,451172150.0,396955147.0,238993250.0,289344759.0,200933017.0,161640380.0,212926569.0,219586754.0,151415372.0,323904490.0,216707910.0,195593079.0,277018518.0,229587032.0
6,06 Plantes vivantes et produits de la floriculture,2690614.0,4214008.0,4056682.0,4592358.0,8642183.0,5148359.0,3804614.0,4620307.0,4069285.0,5521487.0,1488308.0,6043094.0,4909744.0,5044406.0,4472629.0,4746976.0,4949016.0,2168067.0,2149242.0,7827426.0,26693043.0,6381665.0,16341358.0,12330932.0,15211238.0,17778776.0,23577168.0,19490966.0,17262394.0,10934214.0
7,"07 Légumes, plantes, racines et tubercules alimentaires",43999.0,550901.0,43400.0,39080.0,66148.0,,,,5978.0,1193.0,1769.0,,50000.0,,,,1618752.0,,14257.0,,551510.0,1070250.0,2753770.0,1132589.0,,14470.0,37700.0,27000.0,7520.0,14410.0
8,"08 Fruits comestibles, écorces d'agrumes ou de melons",36944.0,249066.0,77445.0,95597.0,171667.0,1541186.0,21000.0,500.0,18792.0,,34540.0,,4200.0,65000.0,334165.0,,506160.0,19504.0,4645730.0,4401861.0,4669216.0,981009.0,1389015.0,1975395.0,759440.0,19557130.0,3928540.0,771670.0,1212890.0,990266.0
9,"09 Café, thé, maté et épices",551600233.0,556736407.0,381810943.0,794638448.0,668662426.0,623913610.0,467606321.0,346663291.0,372904430.0,321162437.0,304204217.0,220215717.0,231043058.0,200486749.0,198798820.0,235986770.0,184071622.0,204380451.0,262162512.0,354090375.0,259947209.0,131902752.0,142070817.0,132212391.0,89760900.0,112540856.0,83076300.0,127650517.0,87309590.0,116438528.0
10,10 Céréales,,,,23439827.0,,,8001.0,,,,,,50000.0,,,897240.0,15122.0,,16784807.0,,,,,9940.0,,,,,779770.0,10500.0
