"Date";"Touristes";"Croisiéristes";"Nuitées touristiques";"Durée de séjour moyenne";"TouristesCumulJanvier";"CroisiéristesCumulJanvier";"Nuitées touristiquesCumulJanvier";"Revenu par chambre (RevPar)";"Coefficent moyen de remplissage des hôtels internationaux";"Chambres offertes";"Chambres vendues";"Passagers arrivés";"Passagers départs";"Indice général";"Inflation mensuelle";"Inflation en glissement sur 12 mois";"Inflation moyenne annuelle";"Créations nettes d'entreprises";"Nombre de salariés";"Commerce";"Construction";"Hôtellerie-Restauration";"Industrie";"Secteur marchand *";"Services";"Somme du chiffre d'affaires des 150 premières entreprises";"Valeur Imports";"Poids Imports";"DTI";"Valeur Exports";"Poids Exports";"DTE";"Mandatements";"Mandatements (cumul annuel)";"Consommation électrique basse Tension";"Consommation électrique moyenne Tension"
2022-09-01;21860;3478;380321;17,398032936871;152755;28318;2688038;52412,2578140275;0,829697494483394;71602;59408;0;0;107,954596710314;0,0070780372175796;0,0759671263839139;0,0474579060550948;505;68873;131,377461929039;128,352676178269;133,470570248438;112,671793628042;138,043700605619;161,849234761967;0;20657339908;54961855,316;5371009943;1126453552;1972318,097;27403073;0;0;0;0
2022-08-01;19833;2954;339279;17,1067917107851;130895;24840;2307717;54695,3647523788;0,815695085472978;73883;60266;0;0;107,195860420686;0,000708196990147458;0,0723902421503864;0,0422592649041476;451;69910;130,430493104065;128,212266545543;131,864440567997;111,647321523335;137,045094722454;160,710461943853;0;22476746866;57021055,105;5586319143;732200118;925865,882;14348033;0;0;0;0
2022-07-01;24359;3889;478884;19,6594277269182;111062;21886;1968438;53896,1077897815;0,806609265426583;73866;59581;0;0;107,119998360262;0,0155426977256705;0,0692842197151726;0,0371462328743491;423;69217;129,984325783708;129,077130101024;132,112565116198;111,607628877468;136,919964466737;159,936379056635;0;22567441508;89985943,7079999;5623941703;880784676;2320252,4769;21933696;0;0;0;0
2022-06-01;19511;2986;363252;18,6178053405771;86703;17997;1489554;48241,2638272245;0,752461519068894;71399;53725;0;0;105,480546116042;0,00158179041163353;0,059213417944707;0,0320636687317929;446;69324;129,721776477993;129,493429313732;132,576027343812;111,088032156211;136,76285266089;159,500993351898;0;22479037329;78181581,9249999;5723423348;1391305677;1764389,206;40848032;0;0;0;0
2022-05-01;18933;4185;300157;15,8536417894681;67192;15011;1126302;42360,7335920387;0,760566808188431;73958;56250;0;0;105,313961501528;0,0025176896602459;0,0620598287637109;0,0276189687598563;529;68871;129,896400793023;127,048808313609;130,986470754605;110,474675920039;136,30454822411;159,927437731739;47488198840;20861855830;64788897,627;5636551878;973226615;2810013,827;27933333;0;0;0;0
2022-04-01;18159;3495;291169;16,0344181948345;48259;10826;826145;40462,9220717243;0,699389430837252;71245;49828;0;0;105,049479513143;0,0112900816302974;0,0576376191425958;0,0222803468012486;441;68860;129,028652346855;126,122374716596;129,68023060803;110,222218998565;135,539030464764;160,418645051208;44265262885;17750400283;55729272,961;4538259903;928995142;1232410,889;31107056;0;0;0;0
2022-03-01;14856;4362;242985;16,3560177705977;30100;7331;534976;27026,8383787328;0,533537335045491;73202;39056;0;0;103,876703056153;0,00265966361119552;0,0509345004613815;0,0170524253298573;482;68260;129,076737537045;126,82377566326;127,912911020007;110,942937083535;135,049376981858;159,585964984494;48183255055;19997525657;75205186,021;5745886363;805240516;2387753,796;20141086;0;0;0;0
2022-02-01;8982;1714;164422;18,3057225562236;15244;2969;291991;19640,7035967927;0,437800687285223;65475;28665;0;0;103,601158823951;0,0108524460192616;0,0436603853796265;0,0119205984552266;416;67267;128,543925609312;126,722080994411;122,357986248078;109,505199392244;133,594724013082;158,538372168198;38106062832;16793748051;53265491,8159999;4523364982;660633580;1646409,505;18401743;0;0;0;0
2022-01-01;6262;1255;127569;20,3719259022676;6262;1255;127569;16051,2408854167;0,364891353046595;71424;26062;0;0;102,48890353081;0,0182347597859271;0,0328661099174394;0,00798276972000753;362;66898;128,125869361556;120,221758632708;121,460989156048;108,592952399114;131,695636282073;156,982984868049;40128874156;17256483528;65708425,535;4544005064;514408958;689030,348;14771398;0;0;0;0
2021-12-01;12321;1996;241798;19,6248681113546;82546;12329;1726941;29349,6144671141;0,487190884710554;67491;32881;0;0;100,653510937259;0,00113443429383842;0,0165132076820591;0,00460858707295124;408;67880;127,694855035449;125,203604247282;120,173444890857;108,229611918101;131,554031125595;155,821866803298;51942000714;20301407960;65034654,1120002;5805084973;1230804379;1898479,897;40771366;0;0;0;0
2021-11-01;10320;2018;185317;17,9570736434109;70225;10333;1485143;29930,8632969645;0,610493112275997;65624;40063;0;0;100,539455531021;0,00319545922955733;0,0181022683531493;0,00245750762458012;426;67258;127,200727764866;123,566572034066;117,187533269432;108,018602163202;130,221753374317;154,795190947294;44957518629;16172538638;54026733,207;4785334634;924023990;1633862,273;27272315;0;0;0;0
2021-10-01;12346;2385;245334;19,8715373400292;59905;8315;1299826;30498,9850208654;0,583688410571784;68295;39863;0;0;100,219209134214;-0,00113031082902948;0,0108659467669958;0,000163862629048846;422;66467;126,16892062645;121,677454982081;113,44050071928;107,523610163604;128,473440840825;152,457193451762;44454518841;15711376045;71413745,548;4394802093;875249439;1969341,063;43024100;0;0;0;0
2021-09-01;6739;740;142807;21,1911262798635;47559;5930;1054492;22034,8676813738;0,392685567875063;65569;25748;0;0;100,332616176783;0,00373016397412673;0,0135834325725472;-0,00124092828512892;425;65715;125,211214275785;121,42182089926;106,574112641439;107,295964806203;127,537771519404;153,41922411524;41411332746;21308762797;88867854,112;5688273263;768039702;1823478,8933;22759384;0;0;20411;16231
2021-08-01;9481;1237;178439;18,8206940196182;40820;5190;911685;37435,5536639635;0,656483297713499;68314;44847;0;0;99,9597499187734;-0,00219020882220022;0,011033857792804;-0,00310251583500148;399;67021;127,024433642082;121,575842305876;114,232306958202;107,682157524158;130,464694297317;157,082407628771;45843534630;14511071795;47713613,882;4079791690;738163791;1749696,24;23902997;0;0;20921;16785
2021-07-01;14331;1826;298464;20,8264601214151;31339;3953;733246;34056,1131734149;0,630564911093789;67993;42874;0;0;100,179163205827;0,0059780478321525;0,00829345000449844;-0,00488729759127251;450;66525;125,917809381373;121,723119028633;113,817352973875;107,928384436852;129,510627484359;154,661749889335;43179550933;17341933277;67323863,6869999;4922887939;553994213;1397225,3702;14952632;1824033339;10706200264;22234;16990
